Gothic	Meaning
waírþida	Tüchtigkeit, Fähigkeit, Wert
waírþis	wärts
waírþja	Naher, Gewärtiger
waírþjan	friedlich sein
waírþnan	friedlich machen, sich versöhnen
waírþōn	schätzen, abschätzen, würdigen
waírþs	wert, würdig, tauglich
waírþs	...wärtig
waitei	vielleicht, etwa
waiþja	Jäger
wajamērei	schlechter Ruf, übler Ruf
wajamēreins	Lästerung
wajamēreis	übelberüchtigt, übel berufen
wajamērjan	lästern
wakan	wachen, wachsam sein
wakjan	wecken
waknan	wach werden
wakrs	wach, wacker
wala	welsch
wala	Tod, Schlachtfeld
walda	Wau, Färberwau
waldan	walten, haushalten, dem Hauswesen vorstehen
waldands	mächtig, Walter
walds	Walter, Herrscher
waldufni	Gewalt, Macht
waldus	Wald
waleins	Wahl
walgjan	wälzen
walhs	welsch, ausländisch
walisa	echt, lauter, geliebt
waljan	wählen
walteins	Wälzung, Sturz
waltjan	sich wälzen, stürzen
walugjan	hin und her treiben
walus	Stab
walwisōn	sich wälzen
walwjan	wälzen
wamba	Bauch, Schoß, Leib
wamm	Fleck
wammei	Beflecktheit
wammjan	beflecken
wamms	schlecht, gemein
wan	Mangel
wanains	Mangel
wanan	mangeln, abnehmen
Wandals	Wandale
wandeins	Wendung
wandi	Wendung
wandjan	wenden
wandus	Gewundenes, Rute
waninassus	Mangel
wans	fehlend, mangelhaft,
warda	Hüterin
wardeins	Werden
wardja	Wächter
wardō	Hüterin
wardōn	beobachten
wards	Wächter, Hüter
warei	Tücke, Verschlagenheit
wargeins	Verurteilung
wargiþa	Verdammungsurteil, Verurteilung, Verdammnis
wargjan	verdammen
wargs	Verdammter, Geächteter
warjan	wehren
warmjan	wärmen
warms	warm
warnjan	sich versehen
warōn	beachten
wars	behutsam, nüchtern, gewahr, vorsichtig
wars	sich wehrend
waseins	Bekleidung
wasjan	einen kleiden, sich kleiden, bekleiden
wasti	Kleid, Kleidung
watō	Wasser
waúrd	Wort
waúrdahs	vernünftig, sich in Worten zeigend
waúrdajiuka	Wortstreit
waúrdei	Gerede
waúrdi	Rede, Wort
waúrhts	getan
waúrhts	Werk, Tat
waúrk	Werk
waúrki	Wirken
waúrkjan	machen, wirken
waúrms	Wurm, Schlange
waúrstw	Werk, Tat, Wirksamkeit
waúrstwa	Arbeiter
waúrstwei	Tun, Verrichtung, Betrieb
waúrstweigs	wirksam
waúrstwja	Arbeiter, Bauer, Winzer
waúrstws	tätig
waúrts	Wurzel
wēgs	Erschütterung, Sturm, Wellenschlag, Brandung, Woge
weida	Führer
weidōn	führen
weif	Weib
weigs	Kampf
weih	Heiligtum, Tempel
weiha	Priester
weihaba	heilig
weihan	kämpfen
weihan	weihen, heiligen
weihiþa	Weihe, Heiligung, Heiligkeit
weihnan	heilig werden, heilig gehalten werden
weihs	heilig, geweiht
weihs	Dorf, Weiler, Flecken
wein	Wein
weinabasi	Weinbeere
weinagards	Weingarten, Weinberg
weinags	trunken, trunksüchtig, Trunkenbold
weinatains	Weinrebe
weinatriu	Weinstock, Weingarten
weindrugkja	Weintrinker, Säufer
weipan	kränzen, krönen, bekränzen
weis	weise, klug
weis	weis, reihig
weis	wir
weisa	Weise
weisei	Weisheit
weisjan	weisen
weisōn	besuchen, heimsuchen, besorgen
weitan	sehen
weiti	Strafe
weitjan	sehen
weitwōdei	Zeugnis, Bezeugung, Zeugnisablegung
weitwōdeins	Zeugnisablegung, Zeugnis
weitwōdi	Zeugnis
weitwōdiþa	Zeugnisablegung, Zeugnis
weitwōdjan	zeugen, bezeugen
weitwōþs	Zeuge
wēniggō	erwartet
wēnjan	warten, hoffen auf, meinen
wēns	Hoffnung
wēpn	Waffe
wēreis	wahr
wērjan	wahren
wērjands	gewährleistend
wēsei	Sein
wida	Binde
wīda	Weite
widan	binden
wīds	weit
widus	Holz, Wald
widuwaírna	Waise
widuwō	Witwe
wigadeinō	Dornpflanze, Distel
wigan	Kampf
wigan	bewegen
wigis	weg
wigs	Weg
wigs	Kampf
wīhjan	weihen
wikō	Reihenfolge, Ordnung, Woche
wilja	Wille, Wohlgefallen
wiljahalþei	Parteilichkeit, Zuneigung, Gunst
wiljahalþs	willkürlich
wiljan	wollen
wiljei	Willigkeit
wiltan	wälzen
wilþeis	wild
wilwa	Räuber
wilwan	rauben
windags	windig
windan	winden
windiþa	Windung
winds	Wind
winds	schief
Winiþs	Wende
winja	Weide
winna	Leiden, Leidenschaft
winnan	leiden, Schmerz leiden
winne	Weide, wRune
winnō	Leiden
wins	Freund
wintrus	Winter, Jahr
winþeis	Wind, windig
winþiskaúrō	Worfschaufel
winþjan	streuen
wipja	Kranz
wis	Meeresstille
wīs	weise, klug, erfahren, verständig
wisan	sein, existieren, bleiben
wisan	weilen, bleiben
wisan	sich freuen, schwelgen, schmausen
Wisands	Wisent
Wisigoti	Westgoten
wiss	Bindung
wiss	gebunden
wiss	gewiss
wissei	Wissen
wissi	Wissen
wist	Westen
wista	westlich
wistr	Westen
wistra	westlich
wists	Wesen, Natur
wisus	gut
wit	wir beide
wita	wissend
witains	Sehen
witan	wissen
witan	auf etwas sehen, achtgeben, bewachen, hüten, halten, beobachten
witands	wissend
witi	Wissen
witōdafasteis	Gesetzeskundiger
witōdafasts	gesetzesfest
witōdalaisāreis	Gesetzeslehrer, Schriftgelehrter
witōdalaus	gesetzlos
witōdeigō	gesetzlich, gesetzmäßig
witōþ	Gesetz, Gebot
witōþs	gesetzlich
wits	Verstand
witubni	Kenntnis, Erkenntnis
wituls	klug
wiþōn	schütteln
wiþra	wider, gegen, vor, gegenüber
wiþragaggan	entgegengehen
wiþragamōtjan	begegnen
wiþrawaírþs	gegenüberliegend, entgegengesetzt, im Gegenteil
wiþrus	Widder, Lamm
wizdila	Waid, Waidkraut
wizdils	Waid, Waidkraut
wizneigs	froh
wizns	Nahrung
wizōn	schwelgen
wlaitōn	sich umsehen, umherblicken, spähen
wleitan	sehen
wleizn	Gesicht
wliti	Gesicht
wlits	Angesicht, Ansehen, Gestalt, Aussehen
wlizjan	ins Gesicht schlagen, kasteien
wōkains	Wachen
wōkan	wachen
wōkrs	Ertrag, Frucht, Zins
wōpjan	rufen, krähen, zurufen, schreien, ausrufen, laut rufen
wōþeis	angenehm, süß, lieblich
wōþs	wütend, besessen
wraiqs	krumm, schräg
wraka	Verfolgung
wrakja	Verfolgung
wrakjan	verfolgen
wraks	Verfolger
wranks	verdreht
wratōdus	Reise
wratōn	reisen, gehen
wreitan	ritzen, reißen
wrēkei	Verfolgung
wrēks	verfolgt
wrēþus	Herde
wriggan	drehen, winden
wrikan	verfolgen
wrisqan	Frucht bringen
writs	Strich
wrōhjan	anklagen, beschuldigen
wrōhs	Klage, Anklage
wrōtjan	wühlen
wruggō	Schlinge
wulan	wallen, sieden, um sich greifen
wulfs	Wolf
wulla	Wolle
wullāreis	Tuchwalker
wulþags	herrlich, wunderbar, angesehen
wulþrs	wertvoll
wulþrs	Wert
wulþus	Herrlichkeit
wulwa	Raub
wunan	zufrieden sein
wunands	zufrieden
wundōn	wund machen, geißeln, plagen
wunds	wund
wundufni	Wunde, Geißel, Plage
wunns	Leiden
wunsk	Wunsch
xjb	662
xjq	666
xkg	623
xl	630
xnd	654
z	z, Abkürzung für 7
Zēlōtēs	Eiferer
